================================================================================
D2 — RAW (coleta operador) — policies integrais
================================================================================
Project ref: zaemlxjwhzrfmowbckmk
Timestamp UTC: 2026-08-12T20:49:00Z
READ-ONLY

| schemaname | tablename        | policyname                                 | permissive | roles           | cmd    | qual                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | with_check                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| public     | notifications    | Permitir leitura de notificações           | PERMISSIVE | {public}        | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | occurrences      | Allow all operations on occurrences        | PERMISSIVE | {public}        | ALL    | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | occurrences      | occurrences_delete_all                     | PERMISSIVE | {public}        | DELETE | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | occurrences      | occurrences_insert_all                     | PERMISSIVE | {public}        | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | occurrences      | occurrences_select_all                     | PERMISSIVE | {public}        | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | occurrences      | occurrences_update_all                     | PERMISSIVE | {public}        | UPDATE | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | package_items    | Allow all operations on package_items      | PERMISSIVE | {public}        | ALL    | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | packages         | Allow all operations on packages           | PERMISSIVE | {public}        | ALL    | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | packages         | packages_resident_select                   | PERMISSIVE | {public}        | SELECT | ((recipient_id = current_resident_id_from_auth()) AND (oculta_para_morador = false))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | packages         | packages_resident_update                   | PERMISSIVE | {public}        | UPDATE | (recipient_id = current_resident_id_from_auth())                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | (recipient_id = current_resident_id_from_auth())                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| public     | packages         | packages_staff_delete                      | PERMISSIVE | {public}        | DELETE | is_staff_from_auth()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | packages         | packages_staff_insert                      | PERMISSIVE | {public}        | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | is_staff_from_auth()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | packages         | packages_staff_select                      | PERMISSIVE | {public}        | SELECT | is_staff_from_auth()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | packages         | packages_staff_update                      | PERMISSIVE | {public}        | UPDATE | is_staff_from_auth()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | is_staff_from_auth()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | permissions      | permissions_select_authenticated           | PERMISSIVE | {authenticated} | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | reservations     | Allow all operations on reservations       | PERMISSIVE | {public}        | ALL    | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | resident_invites | resident_invites_insert_admin              | PERMISSIVE | {authenticated} | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | is_admin_for_staff_invites()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| public     | resident_invites | resident_invites_select_admin              | PERMISSIVE | {authenticated} | SELECT | is_admin_for_staff_invites()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | residents        | Allow all operations on residents          | PERMISSIVE | {public}        | ALL    | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | residents        | Permitir leitura para login morador (anon) | PERMISSIVE | {anon}          | SELECT | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | residents        | Users can delete all data                  | PERMISSIVE | {public}        | DELETE | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | residents        | Users can insert all data                  | PERMISSIVE | {public}        | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | residents        | Users can update all data                  | PERMISSIVE | {public}        | UPDATE | true                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | role_permissions | role_permissions_delete_admin              | PERMISSIVE | {authenticated} | DELETE | ((EXISTS ( SELECT 1 FROM users u WHERE (((u.auth_user_id = auth.uid()) OR (u.auth_id = auth.uid())) AND ((u.is_active = true) OR (u.is_active IS NULL)) AND (upper(TRIM(BOTH FROM COALESCE(u.role, ''::character varying))) = ANY (ARRAY['SINDICO'::text, 'ADMINISTRADORA'::text, 'ADMIN'::text, 'ADMINISTRADOR'::text]))))) OR (EXISTS ( SELECT 1 FROM staff s WHERE ((s.auth_user_id = auth.uid()) AND (upper(TRIM(BOTH FROM COALESCE(s.role, ''::character varying))) = ANY (ARRAY['SINDICO'::text, 'ADMINISTRADORA'::text, 'ADMIN'::text, 'ADMINISTRADOR'::text]))))))                                                                                                                                                               | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| public     | role_permissions | role_permissions_insert_admin              | PERMISSIVE | {authenticated} | INSERT | null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | ((EXISTS ( SELECT 1 FROM users u WHERE (((u.auth_user_id = auth.uid()) OR (u.auth_id = auth.uid())) AND ((u.is_active = true) OR (u.is_active IS NULL)) AND (upper(TRIM(BOTH FROM COALESCE(u.role, ''::character varying))) = ANY (ARRAY['SINDICO'::text, 'ADMINISTRADORA'::text, 'ADMIN'::text, 'ADMINISTRADOR'::text]))))) OR (EXISTS ( SELECT 1 FROM staff s WHERE ((s.auth_user_id = auth.uid()) AND (upper(TRIM(BOTH FROM COALESCE(s.role, ''::character varying))) = ANY (ARRAY['SINDICO'::text, 'ADMINISTRADORA'::text, 'ADMIN'::text, 'ADMINISTRADOR'::text])))))) |
